Flash Cards		Large NH Cities by County

Alton			Belknap
Amherst			Hillsborough
Atkinson		Rockingham
Auburn			Rockingham
Barrington		Strafford
Bedford			Hillsborough
Belmont			Belknap
Berlin			Coös
Bow				Merrimack
Brookline		Hillsborough
Charlestown		Sullivan
Chester			Rockingham
Claremont		Sullivan
Columbia		Coös
Concord			Merrimack
Conway			Carroll
Derry			Rockingham
Dover			Strafford
Durham			Strafford
Enfield			Grafton
Epping			Rockingham
Epsom			Merrimack
Exeter			Rockingham
Farmington		Strafford
Franklin		Merrimack
Gilford			Belknap
Goffstown		Hillsborough
Hampstead		Rockingham
Hampton			Rockingham
Hanover			Grafton
Henniker		Merrimack
Hillsborough	Hillsborough
Hollis			Hillsborough
Hooksett		Merrimack
Hopkinton		Merrimack
Hudson			Hillsborough
Jaffrey			Cheshire
Keene			Cheshire
Kingston		Rockingham
Laconia			Belknap
Lancaster		Coös
Lebanon			Grafton
Lee				Strafford
Litchfield		Hillsborough
Littleton		Grafton
Londonderry		Rockingham
Loudon			Merrimack
Manchester		Hillsborough
Meredith		Belknap
Merrimack		Hillsborough
Milford			Hillsborough
Milton			Strafford
Nashua			Hillsborough
New Boston		Hillsborough
New Ipswich		Hillsborough
Newbury			Merrimack
Newmarket		Rockingham
Newport			Sullivan
Newton			Rockingham
Northfield		Merrimack
Nottingham		Rockingham
Pelham			Hillsborough
Pembroke		Merrimack
Peterborough	Hillsborough
Plaistow		Rockingham
Plymouth		Grafton
Portsmouth		Rockingham
Raymond			Rockingham
Rindge			Cheshire
Rochester		Strafford
Rye				Rockingham
Salem			Rockingham
Sandown			Rockingham
Seabrook		Rockingham
Somersworth		Strafford
Stratham		Rockingham
Swanzey			Cheshire
Wakefield		Carroll
Weare			Hillsborough
Windham			Rockingham
Wolfeboro		Carroll
